id,user_id,event_id,puntuacion,texto,created_at
1,1532,2025072111423614,5,"Maravilloso de principio a fin. Muy dinámico, emotivo y excelentemente gestionado. Un 10 absoluto.",2026-06-01 21:43:00
2,1326,2025072111423614,5,Superó todas mis expectativas. Una calidad artística tremenda y el espacio elegido fue todo un acierto.,2026-05-07 20:22:00
3,211,2025072111423614,5,Superó todas mis expectativas. Una calidad artística tremenda y el espacio elegido fue todo un acierto.,2026-05-26 23:32:00
4,1833,2025072111423614,5,"Un evento espectacular. La organización fue impecable, el sonido perfecto y el ambiente inmejorable.",2026-05-24 18:35:00
5,1693,2025072111423614,1,La peor organización que he visto en un festival/evento. Una falta de respeto total a los asistentes.,2026-05-10 21:09:00
6,1736,2025072111423614,5,Una delicia cultural. Artistas de primer nivel y un público entregado. Organización de diez.,2026-04-10 23:23:00
7,1506,2025072111423614,5,Superó todas mis expectativas. Una calidad artística tremenda y el espacio elegido fue todo un acierto.,2026-05-15 18:25:00
8,1202,2025072111423614,4,Buena organización y un gran nivel. Volvería a asistir a eventos similares en este espacio.,2026-05-18 18:27:00
9,9,2025072111423614,2,Mala gestión del recinto y colas interminables para todo. El contenido tampoco salvó la jornada.,2026-06-26 21:25:00
10,325,2025072111423614,5,Una delicia cultural. Artistas de primer nivel y un público entregado. Organización de diez.,2026-05-09 22:59:00
11,285,2025072111423614,5,"Maravilloso de principio a fin. Muy dinámico, emotivo y excelentemente gestionado. Un 10 absoluto.",2026-06-17 18:36:00
12,378,2025072213252895,4,Puesta en escena muy cuidada y sonido correcto. En general una experiencia muy positiva.,2026-06-03 20:57:00
13,1972,2025072213252895,5,"Maravilloso de principio a fin. Muy dinámico, emotivo y excelentemente gestionado. Un 10 absoluto.",2026-04-12 19:47:00
14,1995,2025072213252895,5,"Maravilloso de principio a fin. Muy dinámico, emotivo y excelentemente gestionado. Un 10 absoluto.",2026-05-05 18:05:00
15,1871,2025072213252895,5,"Un evento espectacular. La organización fue impecable, el sonido perfecto y el ambiente inmejorable.",2026-06-15 22:59:00
16,416,2025072213252895,3,"El evento en sí estuvo bien y los artistas cumplieron, pero la acústica o visibilidad del lugar no acompañaba del todo.",2026-04-20 19:07:00
17,676,2025072213252895,4,Buena organización y un gran nivel. Volvería a asistir a eventos similares en este espacio.,2026-06-02 20:42:00
18,250,2025072213252895,4,Muy interesante y ameno. Una excelente propuesta para el fin de semana. Recomendable.,2026-04-05 20:42:00
19,1397,2025072213252895,2,Mala gestión del recinto y colas interminables para todo. El contenido tampoco salvó la jornada.,2026-05-19 23:46:00
20,1657,2025072213252895,1,"Pésima experiencia. Mala acústica, desorganización total y un trato del personal que dejó muchísimo que desear. Dinero tirado.",2026-04-18 21:37:00
